id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
946010,Tasty Planet Forever,2018,,8,6.5,8.85,40.0,,-8.85,Side Scroller|Action|Platformer|Split Screen|Score Attack|Controller|Top-Down|Local Co-Op|2D Platformer|Destruction|Post-apocalyptic|Funny|Arcade|Casual|Indie|Cartoony|Singleplayer|Hand-drawn|Cute|2D|Cats
1921780,The Sushi Spinnery,2022,,8,25.5,13.07,20.75,23.0,9.93,Strategy|Pixel Graphics|Resource Management|Colony Sim|Building|Management|Strategy RPG|City Builder|2D Platformer|Sandbox|Casual|Indie|Cooking|Life Sim|Singleplayer|Simulation|Cute|Real Time Tactics|2D|Economy
1934800,a pet shop after dark,2022,,8,7.314285714285714,2.2,2.41,2.64,0.43999999999999995,Horror|Visual Novel|Adventure|Atmospheric|Puzzle|Psychological Horror|Female Protagonist|Multiple Endings|Mystery|Casual|Fantasy|Cartoony|Singleplayer|Psychological|Dark|Cute|Interactive Fiction|Hidden Object|2D
449250,A Little Lily Princess,2016,,8,12.428571428571429,6.66,13.21,15.11,8.45,Multiple Endings|Based On A Novel|Drama|Cute|Visual Novel|Story Rich|Romance|Anime|Indie|2D|Dating Sim|Female Protagonist|Simulation|Singleplayer|Emotional
441280,Pharaoh Rebirth+,2016,,8,12.083333333333334,4.89,6.93,10.6,5.71,Platformer|Side Scroller|Indie|Action|2D|Pixel Graphics|Adventure|Metroidvania|Great Soundtrack|Singleplayer
1483370,The Use of Life,2022,,8,11.307692307692308,,,,,Dark Fantasy|JRPG|RPGMaker|Turn-Based Combat|Story Rich|Quick-Time Events|Turn-Based Strategy|Free to Play|CRPG|Indie|Retro|Fantasy|2D|Singleplayer|Adventure|RPG|Choose Your Own Adventure|Early Access
1896390,Stickman Trenches,2023,,6,3.6951219512195124,,,,,Combat|World War I|Tower Defense|Casual|Side Scroller|Strategy|Action|2D Fighter|Tanks|2D|Singleplayer|Military|War|Wargame
1652680,GAME.exe,2021,,8,4.893939393939394,0.44,0.75,,-0.44,Story Rich|Lore-Rich|First-Person|Crime|Action|Pixel Graphics|Exploration|Investigation|Psychological Horror|Clicker|3D|Survival Horror|Assassin|Life Sim|Singleplayer|Psychological|Colorful|2D|Sandbox
1125390,Atrio: The Dark Wild,2023,,8,4.971830985915493,12.21,21.5,,-12.21,Automation|Story Rich|Strategy|Creature Collector|Resource Management|Management|Isometric|Open World|Early Access|Post-apocalyptic|Crafting|Survival Horror|Survival|Simulation|Singleplayer|Dark|Open World Survival Craft|2D|Stylized|Sandbox
789660,Buggos,2022,,8,6.746268656716418,6.5,7.12,,-6.5,Horror|Strategy|Level Editor|RTS|Pixel Graphics|Colony Sim|Building|Tactical|Top-Down|Villain Protagonist|Auto Battler|Indie|Singleplayer|Simulation|Space|Aliens|2D|Sci-fi|Wargame
1669420,Islets,2022,,8,22.333333333333332,7.32,7.74,8.96,1.6400000000000006,Story Rich|Action-Adventure|Side Scroller|Action|Adventure|Nature|Platformer|Atmospheric|Exploration|2D Platformer|Funny|Fantasy|Linear|Singleplayer|Colorful|Cute|Family Friendly|2D|Open World|Metroidvania
1812060,Yokai Art: Night Parade of One Hundred Demons,2022,,8,8.790322580645162,,,,,Strategy|Action|RTS|Adventure|Demons|Puzzle|Tactical|Sexual Content|Casual|Survival|Fantasy|Deckbuilding|Indie|Singleplayer|Cute|Tower Defense|Cartoon|Real Time Tactics|2D|Wargame
