steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
1582200,Sanctuary Saga,"[""Boomer's Workshop""]",['V Publishing'],"['Single-player', 'Full controller support', 'Family Sharing']",['RPG'],0,0,['windows'],True,2023-03-08 00:00:00,"['Monster Cosplay Skins', 'Sanctuary Saga Soundtrack']",7,4,3,0.0,7 user reviews,57.1,0,False,14.99
1582210,Fast Finger Rule,['Spectre17'],['Spectre17'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Remote Play Together']","['Action', 'Casual', 'Free To Play', 'Indie', 'Massively Multiplayer', 'Simulation']",0,0,['windows'],True,2021-11-01 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1582280,Sleepy Sunday,['Martin Cochet'],['Martin Cochet'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,0,['windows'],True,2021-09-09 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,7.99
1582290,LumbearJack,['FinalBoss Games'],['Armor Games Studios'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,17,['windows'],True,2022-06-11 00:00:00,[],118,113,5,8.0,Very Positive,95.8,0,False,12.99
1582300,ALL OUT WAR : Welcome To The Front,['BENNETT PUBLICATIONS'],['BENNETT PUBLICATIONS'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']","['Action', 'Adventure', 'Casual', 'Strategy']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1582310,IRENE.HOUSE,['augury.house'],['augury.house'],['Single-player'],['Indie'],0,0,['windows'],True,2021-11-17 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1581580,The Legend of Bear-Truck Trucker,['Captain Games'],['Captain Games'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Indie', 'Racing', 'Simulation']",0,19,['windows'],True,2021-04-30 00:00:00,[],30,29,1,7.0,Positive,96.7,0,False,4.99
1581590,VR Nara Park,"['x-climb, Inc.']","['x-climb, Inc.']","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,8,['windows'],True,2021-04-03 00:00:00,[],5,1,4,0.0,5 user reviews,20.0,0,False,9.99
1581600,Reconnect,['HFOTA'],['HFOTA'],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,0,['windows'],True,2021-04-05 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,1.99
1581640,Gethaut,['Griaznov Aliexiey'],['Ru Games'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,0,['windows'],True,2021-04-28 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,10.99
